board_path,board_l1,board_l2,board_l3,is_tech,stock_count,best_rank,avg_rank,top_stocks,curve_member_count,curve_members,sector_ret_5d,sector_ret_20d,sector_trend_score
科技>AI算力与数据中心>液冷温控,科技,AI算力与数据中心,液冷温控,True,20,182,847.15,603629:利通电子#182 | 002837:英维克#239 | 000811:冰轮环境#247 | 603339:四方科技#294 | 300442:润泽科技#322 | 002158:汉钟精机#366 | 603757:大元泵业#394 | 300975:商络电子#406,8.0,603629:利通电子 | 002837:英维克 | 000811:冰轮环境 | 603339:四方科技 | 300442:润泽科技 | 002158:汉钟精机 | 603757:大元泵业 | 300975:商络电子,-0.006113475127371593,0.26442732659931134,73.75
科技>机器人与智能汽车>智能汽车,科技,机器人与智能汽车,智能汽车,True,19,32,944.0,600487:亨通光电#32 | 600360:华微电子#40 | 002050:三花智控#109 | 002674:兴业科技#265 | 002536:飞龙股份#334 | 000625:长安汽车#460 | 300024:机器人#616 | 300124:汇川技术#666,8.0,600487:亨通光电 | 600360:华微电子 | 002050:三花智控 | 002674:兴业科技 | 002536:飞龙股份 | 000625:长安汽车 | 300024:机器人 | 300124:汇川技术,-0.02529154192660943,0.15592534471617414,55.5
科技>光通信与高速互联>铜缆高速连接,科技,光通信与高速互联,铜缆高速连接,True,15,141,744.6,002475:立讯精密#141 | 002792:通宇通讯#183 | 002025:航天电器#212 | 300115:长盈精密#347 | 301310:鑫宏业#438 | 688629:华丰科技#445 | 600869:XD远东股#498 | 000818:航锦科技#614,8.0,002475:立讯精密 | 002792:通宇通讯 | 002025:航天电器 | 300115:长盈精密 | 301310:鑫宏业 | 688629:华丰科技 | 600869:XD远东股 | 000818:航锦科技,-0.030512011677835793,0.13132519705344103,47.75
科技>软件AI与信创>信创与数据要素,科技,软件AI与信创,信创与数据要素,True,13,16,972.0,000547:航天发展#16 | 600410:华胜天成#23 | 688387:信科移动#372 | 300253:卫宁健康#775 | 301191:菲菱科思#791 | 002065:东华软件#972 | 002439:启明星辰#1118 | 300324:旋极信息#1200,8.0,000547:航天发展 | 600410:华胜天成 | 688387:信科移动 | 300253:卫宁健康 | 301191:菲菱科思 | 002065:东华软件 | 002439:启明星辰 | 300324:旋极信息,0.04108887114031945,0.13422623107201304,70.75
科技>AI终端与消费电子>消费电子,科技,AI终端与消费电子,消费电子,True,7,72,533.14,300136:信维通信#72 | 000970:中科三环#272 | 600392:盛和资源#324 | 002916:深南电路#357 | 600366:宁波韵升#765 | 300083:创世纪#887 | 000795:英洛华#1055,7.0,300136:信维通信 | 000970:中科三环 | 600392:盛和资源 | 002916:深南电路 | 600366:宁波韵升 | 300083:创世纪 | 000795:英洛华,-0.07228215579986297,0.08944069203902316,28.75
科技>机器人与智能汽车>机器人,科技,机器人与智能汽车,机器人,True,4,27,225.25,002747:埃斯顿#27 | 301005:超捷股份#102 | 688017:XD绿的谐#275 | 301232:飞沃科技#497,4.0,002747:埃斯顿 | 301005:超捷股份 | 688017:XD绿的谐 | 301232:飞沃科技,-0.080076729513745,0.2402393126058724,45.75
科技>AI算力与数据中心>算力服务器,科技,AI算力与数据中心,算力服务器,True,1,38,38.0,601138:工业富联#38,1.0,601138:工业富联,0.023949320148331177,-0.046749136939010394,41.5
未分类,未分类,,,False,778,9,1272.14,600879:XD航天电#9 | 301583:N托伦斯#12 | 688523:航天环宇#35 | 603137:恒尚节能#43 | 600343:航天动力#45 | 001248:华润新能源#48 | 001208:华菱线缆#52 | 002829:星网宇达#55,6.0,600879:XD航天电 | 688523:航天环宇 | 603137:恒尚节能 | 600343:航天动力 | 001208:华菱线缆 | 002829:星网宇达,0.15627446740717543,0.3153248636318986,97.25
电气机械和器材制造业,电气机械和器材制造业,,,False,75,47,938.21,300750:宁德时代#47 | 300274:阳光电源#97 | 600105:永鼎股份#103 | 002364:中恒电气#125 | 002129:TCL中环#128 | 002617:露笑科技#130 | 002606:大连电瓷#135 | 300342:天银机电#139,8.0,300750:宁德时代 | 300274:阳光电源 | 600105:永鼎股份 | 002364:中恒电气 | 002129:TCL中环 | 002617:露笑科技 | 002606:大连电瓷 | 300342:天银机电,-0.03643629871431797,-0.013670572097241207,26.25
化学原料和化学制品制造业,化学原料和化学制品制造业,,,False,71,19,1006.63,002361:神剑股份#19 | 002407:多氟多#30 | 300821:东岳硅材#79 | 600378:昊华科技#145 | 603155:新亚强#148 | 301092:争光股份#195 | 000920:沃顿科技#196 | 603906:龙蟠科技#210,8.0,002361:神剑股份 | 002407:多氟多 | 300821:东岳硅材 | 600378:昊华科技 | 603155:新亚强 | 301092:争光股份 | 000920:沃顿科技 | 603906:龙蟠科技,-0.04906104444720405,0.05553202479626451,27.25
C 制造业,C 制造业,,,False,42,54,944.38,003009:中天火箭#54 | 002490:山东墨龙#238 | 300900:广联航空#308 | 300706:阿石创#396 | 002031:巨轮智能#407 | 002353:杰瑞股份#428 | 002430:杭氧股份#479 | 000519:中兵红箭#559,,,,,50.0
