board_path,board_l1,board_l2,board_l3,is_tech,stock_count,best_rank,avg_rank,top_stocks
科技>AI算力与数据中心>液冷温控,科技,AI算力与数据中心,液冷温控,True,30,50,694.4,603629:利通电子#50 | 000811:冰轮环境#75 | 603989:艾华集团#89 | 300975:商络电子#124 | 300420:五洋自控#176 | 300442:润泽科技#201 | 603496:XD恒为科#220 | 601609:金田股份#234
科技>半导体与先进封装>先进封装,科技,半导体与先进封装,先进封装,True,29,4,536.55,600667:太极实业#4 | 688256:寒武纪#11 | 000988:华工科技#35 | 600353:旭光电子#39 | 688525:佰维存储#99 | 002119:康强电子#127 | 300671:富满微#145 | 603324:盛剑科技#152
科技>软件AI与信创>信创与数据要素,科技,软件AI与信创,信创与数据要素,True,22,297,1266.73,000547:航天发展#297 | 600410:华胜天成#395 | 002685:华东重机#505 | 603039:泛微网络#755 | 002965:祥鑫科技#912 | 300353:东土科技#966 | 300212:*ST易录#1115 | 301191:菲菱科思#1145
科技>光通信与高速互联>铜缆高速连接,科技,光通信与高速互联,铜缆高速连接,True,19,59,1019.11,002475:立讯精密#59 | 600869:远东股份#149 | 301310:鑫宏业#225 | 300252:金信诺#637 | 600255:鑫科材料#645 | 600143:金发科技#700 | 300115:长盈精密#786 | 002792:通宇通讯#810
科技>AI终端与消费电子>消费电子,科技,AI终端与消费电子,消费电子,True,16,14,601.44,600392:盛和资源#14 | 300136:信维通信#100 | 002916:深南电路#129 | 000970:中科三环#200 | 600366:宁波韵升#229 | 001216:华瓷股份#296 | 000795:英洛华#324 | 300066:三川智慧#427
科技>机器人与智能汽车>机器人,科技,机器人与智能汽车,机器人,True,14,30,660.29,002747:埃斯顿#30 | 688017:绿的谐波#125 | 603211:晋拓股份#236 | 002283:天润工业#237 | 603082:北自科技#260 | 603358:华达科技#349 | 300100:双林股份#375 | 301005:超捷股份#518
科技>AI算力与数据中心>算力服务器,科技,AI算力与数据中心,算力服务器,True,1,2,2.0,601138:工业富联#2
电气机械和器材制造业,电气机械和器材制造业,,,False,124,66,1180.19,600105:永鼎股份#66 | 603618:杭电股份#106 | 601179:中国西电#156 | 300014:亿纬锂能#166 | 300750:宁德时代#192 | 002129:TCL中环#193 | 300283:温州宏丰#231 | 600089:特变电工#240
化学原料和化学制品制造业,化学原料和化学制品制造业,,,False,102,57,1090.0,600378:昊华科技#57 | 002407:多氟多#58 | 600160:巨化股份#143 | 002805:丰元股份#164 | 603065:宿迁联盛#175 | 002361:神剑股份#191 | 600500:中化国际#195 | 600367:红星发展#199
C 制造业,C 制造业,,,False,75,126,1139.24,001696:宗申动力#126 | 301580:爱迪特#131 | 002645:华宏科技#212 | 003036:泰坦股份#219 | 300706:阿石创#324 | 002613:北玻股份#328 | 002950:奥美医疗#339 | 002625:光启技术#347
未分类,未分类,,,False,73,72,1148.92,600186:莲花控股#72 | 600879:航天电子#182 | 603261:立航科技#188 | 600399:抚顺特钢#217 | 688012:中微公司#302 | 603283:赛腾股份#303 | 600759:ST洲际#310 | 603308:应流股份#316
电力、热力生产和供应业,电力、热力生产和供应业,,,False,65,12,1048.31,601991:大唐发电#12 | 001896:豫能控股#60 | 600396:华电辽能#64 | 000539:粤电力Ａ#132 | 600900:长江电力#252 | 600578:京能电力#254 | 000767:晋控电力#257 | 600726:华电能源#272
医药制造业,医药制造业,,,False,58,153,1234.86,600276:恒瑞医药#153 | 002317:众生药业#171 | 600851:海欣股份#341 | 000534:万泽股份#366 | 300558:贝达药业#388 | 600671:天目药业#463 | 600518:康美药业#471 | 300255:常山药业#501
有色金属冶炼和压延加工业,有色金属冶炼和压延加工业,,,False,51,7,806.59,600110:诺德股份#7 | 600549:厦门钨业#23 | 600362:江西铜业#31 | 002167:东方锆业#36 | 000630:铜陵有色#42 | 002842:翔鹭钨业#43 | 002378:章源钨业#63 | 600111:北方稀土#65
通用设备制造业,通用设备制造业,,,False,46,169,1233.85,000777:中核科技#169 | 002202:金风科技#181 | 002472:双环传动#368 | 600875:东方电气#392 | 603201:常润股份#400 | 002896:中大力德#405 | 603667:五洲新春#433 | 300411:金盾股份#454
非金属矿物制品业,非金属矿物制品业,,,False,39,19,801.62,600176:中国巨石#19 | 605006:山东玻纤#41 | 601636:旗滨集团#81 | 603601:再升科技#102 | 002080:中材科技#146 | 300861:美畅股份#159 | 603616:韩建河山#197 | 001296:长江材料#268
橡胶和塑料制品业,橡胶和塑料制品业,,,False,33,62,1171.76,002585:双星新材#62 | 002812:恩捷股份#418 | 002735:王子新材#426 | 603212:赛伍技术#456 | 002263:大东南#466 | 000859:国风新材#485 | 600458:时代新材#685 | 688323:瑞华泰#722
汽车制造业,汽车制造业,,,False,33,113,1188.24,002594:比亚迪#113 | 601127:赛力斯#223 | 000338:潍柴动力#448 | 603335:迪生力#491 | 000981:山子高科#531 | 002085:万丰奥威#591 | 000700:模塑科技#713 | 600104:上汽集团#743
金属制品业,金属制品业,,,False,27,37,1193.56,002297:博云新材#37 | 605376:博迁新材#87 | 301377:鼎泰高科#314 | 002342:巨力索具#554 | 600114:东睦股份#703 | 300488:恒锋工具#715 | 001226:拓山重工#747 | 600615:鑫源智造#867
资本市场服务,资本市场服务,,,False,27,53,1168.56,300059:东方财富#53 | 600030:中信证券#270 | 600909:华安证券#342 | 601696:中银证券#689 | 601688:华泰证券#707 | 600906:财达证券#824 | 601211:国泰海通#888 | 601162:天风证券#895
酒、饮料和精制茶制造业,酒、饮料和精制茶制造业,,,False,26,47,1122.96,600519:贵州茅台#47 | 000858:五 粮 液#112 | 000799:酒鬼酒#472 | 605198:安德利#529 | 000568:泸州老窖#560 | 600809:山西汾酒#581 | 002568:百润股份#597 | 600199:金种子酒#840
有色金属矿采选业,有色金属矿采选业,,,False,24,70,806.79,600259:中稀有色#70 | 603993:洛阳钼业#74 | 601958:金钼股份#79 | 601899:紫金矿业#90 | 001257:盛龙股份#185 | 002192:融捷股份#509 | 002155:湖南黄金#574 | 000426:兴业银锡#587
房地产业,房地产业,,,False,24,92,1059.04,002208:合肥城建#92 | 600162:香江控股#121 | 000608:阳光股份#213 | 600641:先导基电#365 | 000002:万  科Ａ#581 | 000620:盈新发展#618 | 600683:京投发展#653 | 000006:深振业Ａ#845
货币金融服务,货币金融服务,,,False,22,286,1193.41,601398:工商银行#286 | 600036:招商银行#307 | 601288:农业银行#378 | 601166:兴业银行#569 | 601187:厦门银行#676 | 601988:中国银行#678 | 000001:平安银行#745 | 601939:建设银行#759
土木工程建筑业,土木工程建筑业,,,False,20,161,959.6,603778:国晟科技#161 | 601868:中国能建#168 | 601117:中国化学#300 | 601669:中国电建#373 | 603316:诚邦股份#434 | 002051:中工国际#455 | 601390:中国中铁#790 | 600170:上海建工#797
零售业,零售业,,,False,20,267,1110.1,000759:中百集团#267 | 000679:大连友谊#348 | 000564:供销大集#519 | 300209:行云科技#680 | 000417:合百集团#692 | 002251:步步高#697 | 601933:永辉超市#882 | 002640:跨境通#914
