code,market_symbol,name,rank,rank_change,his_rank_change,his_rank_change_rank,calc_time,market_all_count,rank_status,collected_at,industry_boards,primary_industry,exchange_industry,concept_boards,primary_concept,concept_count,is_tech,board_l1,board_l2,board_l3,board_path,all_tech_l2,all_tech_l3,tech_source_boards,classification_reason,classified_at
603183,SH603183,建研院,707,1.0,-201.0,3396.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53
000681,SZ000681,视觉中国,708,-1.0,63.0,2166.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,文化艺术业,文化艺术业,I 信息技术,业绩预升,业绩预升,1,True,科技,软件AI与信创,AI应用,科技>软件AI与信创>AI应用,软件AI与信创,AI应用;信创与数据要素,AI语料;多模态AI;AI视频;AI应用;AI智能体;智谱AI;数据要素,ths,2026-07-11T18:23:53
002975,SZ002975,博杰股份,709,0.0,-581.0,4514.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,C 制造业,C 制造业,,,0,False,C 制造业,,,C 制造业,,,,non_tech_primary_industry,2026-07-11T18:23:53
600397,SH600397,江钨装备,710,0.0,-189.0,3362.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,煤炭开采和洗选业,煤炭开采和洗选业,,业绩预降,业绩预降,1,False,煤炭开采和洗选业,,,煤炭开采和洗选业,,,,non_tech_primary_industry,2026-07-11T18:23:53
002550,SZ002550,千红制药,711,2.0,1094.0,496.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53
001696,SZ001696,宗申动力,712,-1.0,-406.0,4093.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,C 制造业,C 制造业,专精特新;军民融合;参股金融;成渝特区,专精特新,4,False,C 制造业,,,C 制造业,,,,non_tech_primary_industry,2026-07-11T18:23:53
002056,SZ002056,横店东磁,713,-1.0,-303.0,3781.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,电气机械和器材制造业,电气机械和器材制造业,C 制造业,BC电池;业绩预升;低碳经济;光伏;光伏概念;固态电池;特斯拉;融资融券;触摸屏;锂电池,BC电池,10,True,科技,AI算力与数据中心,算力基础设施,科技>AI算力与数据中心>算力基础设施,AI算力与数据中心,算力基础设施,东数西算(算力),ths,2026-07-11T18:23:53
603178,SH603178,圣龙股份,714,0.0,-220.0,3466.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53
002104,SZ002104,恒宝股份,715,0.0,9.0,2384.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,C 制造业,5G概念;物联网;电子支付,5G概念,3,True,科技,电子制造与通信设备,其他电子通信,科技>电子制造与通信设备>其他电子通信,电子制造与通信设备,其他电子通信,industry_fallback,industry_fallback,2026-07-11T18:23:53
300780,SZ300780,德恩精工,716,1.0,77.0,2105.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53
600887,SH600887,伊利股份,717,1.0,107.0,1995.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,QFII重仓;保险重仓;基金重仓;社保重仓;融资融券,QFII重仓,5,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53
